winner,loser,winnerscore,loserscore,date,bo3
BIG,Apeks,2,0,1651518000.0,True
BIG,FaZe,2,0,1650315900.0,True
BIG,SAW,16,5,1650215400.0,False
BIG,Endpoint,2,0,1649975700.0,True
BIG,BLUEJAYS,16,8,1649970000.0,False
BIG,Tricked,19,17,1649902200.0,False
BIG,GODSENT,2,0,1648420200.0,True
Movistar Riders,BIG,2,0,1648312200.0,True
Players,BIG,2,0,1648225800.0,True
BIG,Party Astronauts,2,0,1648154400.0,True
BIG,SAW,16,8,1646448600.0,False
FaZe,MOUZ,2,0,1650398700.0,True
FaZe,FURIA,2,0,1649541600.0,True
FaZe,Natus Vincere,2,0,1649457000.0,True
FaZe,Players,2,1,1649196000.0,True
FaZe,FURIA,2,1,1647819600.0,True
FaZe,Sprout,2,0,1647646500.0,True
ENCE,FaZe,2,1,1647460800.0,True
FaZe,Gambit,2,0,1645834500.0,True
Natus Vincere,OG,16,5,1650230100.0,False
Natus Vincere,QUAZAR,16,12,1650204000.0,False
Natus Vincere,Evil Geniuses,2,0,1648771200.0,True
Natus Vincere,AGO,2,0,1648654200.0,True
Natus Vincere,FaZe,2,1,1645403400.0,True
Natus Vincere,FURIA,2,0,1645304400.0,True
Natus Vincere,ENCE,2,1,1645205400.0,True
Natus Vincere,NIP,2,0,1644178800.0,True
MIBR,Cloud9,2,0,1616626800.0,True
Cloud9,FURIA,2,0,1616454000.0,True
Cloud9,TeamOne,2,1,1616358300.0,True
Gambit,Cloud9,2,1,1616256000.0,True
Natus Vincere,Cloud9,2,1,1616182800.0,True
Winstrike,Cloud9,2,1,1615323300.0,True
VOYVODA,Cloud9,2,1,1615169400.0,True
Cloud9,Movistar Riders,2,0,1615154400.0,True
Heroic,Cloud9,2,0,1615082400.0,True
Cloud9,K23,2,1,1615068000.0,True
OG,Cloud9,2,1,1613593800.0,True
Cloud9,Movistar Riders,2,0,1613511000.0,True
Spirit,Cloud9,16,7,1613494800.0,False
fnatic,Cloud9,2,1,1612046100.0,True
Cloud9,MIBR,2,1,1611959400.0,True
FURIA,Cloud9,2,1,1611890100.0,True
MOUZ,Copenhagen Flames,2,0,1651685400.0,True
Copenhagen Flames,Apeks,2,1,1651615200.0,True
Entropiq,Copenhagen Flames,2,1,1651530600.0,True
Copenhagen Flames,EC Kyiv,2,1,1651505400.0,True
Copenhagen Flames,NIP,2,0,1650657300.0,True
Copenhagen Flames,SINNERS,16,9,1650577500.0,False
Copenhagen Flames,Sprout,16,11,1650562800.0,False
Copenhagen Flames,Apeks,2,1,1649975700.0,True
Copenhagen Flames,1WIN,16,11,1649970000.0,False
Copenhagen Flames,Looking For Org,16,9,1649904000.0,False
EC Kyiv,Copenhagen Flames,2,1,1649808600.0,True
Copenhagen Flames,PGE Turow,16,10,1649802600.0,False
Copenhagen Flames,SINNERS,2,0,1649286000.0,True
Copenhagen Flames,Sangal,2,0,1649199600.0,True
NIP,SINNERS,2,0,1650730800.0,True
NIP,Endpoint,16,8,1650555000.0,False
NIP,Looking For Org,2,1,1647106200.0,True
NIP,MOUZ,2,1,1647019800.0,True
NIP,Entropiq,2,0,1646946000.0,True
NIP,fnatic,2,0,1646872200.0,True
Gambit,NIP,2,0,1645392600.0,True
NIP,MOUZ,2,0,1645320600.0,True
paiN,FURIA,2,0,1651457100.0,True
FURIA,GODSENT,2,0,1651355700.0,True
FURIA,ATK,2,0,1651198800.0,True
FURIA,Isurus,16,4,1649710200.0,False
FURIA,Leviatan,16,4,1649687400.0,False
FURIA,ENCE,2,1,1647707400.0,True
FURIA,Sprout,2,0,1647547200.0,True
Vitality,Complexity,16,1,1652130010.0,True
